"batch","sex","filename","inside_sample_area","whole_sample_area","inside_bone_area","whole_bone_area","inside_total_weight","whole_total_weight","inside_soft_weight","whole_soft_weight","inside_lean_weight","whole_lean_weight","inside_fat_weight","whole_fat_weight","inside_fat_percent","whole_fat_percent","inside_BMC","whole_BMC","inside_BMD","whole_BMD"
"Batch 3","Male","B3_M_3.txt","27.493","31.612","8.043","10.704","25.4151","29.5285","24.8578","28.5576","18.6875","21.3781","6.1703","7.1795","24.822","25.140","0.55732","0.97096","69.297","90.707"
"Batch 3","Male","B3_M_4.txt","30.373","34.760","8.598","11.275","31.5427","36.2000","30.9405","35.1642","22.8174","25.6769","8.1231","9.4873","26.254","26.980","0.60216","1.03583","70.030","91.870"
"Batch 2","Female","B2_F_0.txt","25.795","25.858","7.677","7.709","24.0544","24.1355","23.5507","23.6291","16.1780","16.2253","7.3727","7.4038","31.306","31.333","0.50372","0.50644","65.610","65.693"
"Batch 2","Female","B2_F_1.txt","30.476","31.203","9.302","9.513","30.3301","31.0961","29.6523","30.3936","19.3945","19.6246","10.2578","10.7690","34.593","35.432","0.67779","0.70251","72.862","73.848"
"Batch 2","Female","B2_F_2.txt","29.365","29.925","9.098","9.248","27.1932","27.7327","26.5851","27.1078","16.1146","16.3252","10.4705","10.7826","39.385","39.777","0.60810","0.62495","66.842","67.579"
"Batch 2","Female","B2_F_3.txt","28.505","29.224","8.787","9.116","28.3986","29.2530","27.8391","28.6584","17.1961","17.4924","10.6430","11.1660","38.230","38.962","0.55952","0.59456","63.676","65.225"
"Batch 2","Female","B2_F_4.txt","30.408","31.037","9.542","9.704","30.0500","30.6670","29.3578","29.9565","17.1337","17.3393","12.2241","12.6171","41.638","42.118","0.69214","0.71053","72.533","73.218"
"Batch 2","Male","B2_M_0.txt","28.796","29.452","8.514","8.670","30.6141","31.2881","29.9465","30.6106","22.2300","22.7329","7.7165","7.8777","25.768","25.735","0.66756","0.67751","78.409","78.145"
"Batch 2","Male","B2_M_1.txt","30.592","30.989","9.114","9.222","32.0475","32.5817","31.3771","31.9030","22.6546","23.0148","8.7224","8.8882","27.799","27.860","0.67044","0.67872","73.558","73.599"
"Batch 2","Male","B2_M_2.txt","30.548","31.493","9.019","9.317","31.8098","32.9236","31.1494","32.2352","20.8754","21.4527","10.2740","10.7825","32.983","33.449","0.66036","0.68840","73.216","73.889"
"Batch 2","Male","B2_M_3.txt","29.682","32.091","9.604","10.013","30.4109","32.6111","29.7139","31.8784","18.7389","19.7818","10.9749","12.0966","36.935","37.946","0.69700","0.73273","72.576","73.176"
"Batch 2","Male","B2_M_4.txt","27.218","28.313","8.438","8.614","28.7158","29.8394","28.0954","29.2008","20.9784","21.7396","7.1170","7.4612","25.331","25.551","0.62041","0.63861","73.522","74.137"
"Batch 1","Female","B1_F_1 Week 4.txt","28.076","29.158","9.149","9.579","25.3930","26.4028","24.7005","25.6642","17.9436","18.5506","6.7569","7.1136","27.355","27.718","0.69242","0.73863","75.679","77.110"
"Batch 1","Male","B1_M_1 Week 4.txt","28.670","28.834","8.810","8.913","29.2905","29.5263","28.6236","28.8462","21.0112","21.1039","7.6123","7.7423","26.595","26.840","0.66695","0.68010","75.702","76.301"
"Batch 1","Female","B1_F_1 Week 2.txt","27.181","27.436","8.278","8.407","25.9537","26.2504","25.3661","25.6472","18.2934","18.4088","7.0727","7.2384","27.883","28.223","0.58754","0.60324","70.977","71.759"
"Batch 1","Male","B1_M_1 Week 2.txt","28.123","29.438","8.464","8.777","30.0309","31.3001","29.3875","30.6290","21.1144","21.8478","8.2732","8.7813","28.152","28.670","0.64339","0.67104","76.011","76.454"
"Batch 1","Female","B1_F_0 Week 1.txt","29.742","32.851","8.803","10.463","24.8310","27.9316","24.2410","27.1308","16.8183","18.5689","7.4227","8.5619","30.621","31.558","0.58998","0.80076","67.019","76.534"
"Batch 1","Female","B1_F_1 Week 1.txt","30.906","34.226","8.340","9.981","26.0637","29.6267","25.4782","28.8138","19.6600","21.8363","5.8182","6.9775","22.836","24.216","0.58548","0.81286","70.198","81.444"
"Batch 1","Female","B1_F_2 Week 1.txt","30.350","33.502","8.898","10.722","29.6166","33.2939","28.9923","32.3683","18.0453","19.1080","10.9470","13.2603","37.758","40.967","0.62434","0.92561","70.166","86.328"
"Batch 1","Female","B1_F_3 Week 1.txt","30.132","32.405","8.861","10.026","28.4473","30.8878","27.8243","30.1002","19.0449","20.1605","8.7794","9.9397","31.553","33.022","0.62297","0.78761","70.303","78.559"
"Batch 1","Female","B1_F_4 Week 1.txt","31.222","33.738","8.990","9.981","28.1668","30.5251","27.5276","29.7872","18.9901","20.4675","8.5375","9.3197","31.014","31.287","0.63919","0.73790","71.102","73.931"
"Batch 1","Male","B1_M_0 Week 1.txt","30.621","33.471","8.002","9.157","29.7327","33.0348","29.1855","32.3443","22.7533","25.0242","6.4322","7.3201","22.039","22.632","0.54719","0.69052","68.386","75.406"
"Batch 1","Male","B1_M_1 Week 1.txt","29.625","33.099","8.606","10.314","29.4506","33.2462","28.8456","32.4157","21.4376","23.7041","7.4080","8.7116","25.682","26.875","0.60496","0.83055","70.296","80.524"
"Batch 1","Male","B1_M_2 Week 1.txt","30.004","33.309","11.204","12.859","30.8291","34.4093","29.9413","33.2978","18.5504","19.5697","11.3909","13.7281","38.044","41.228","0.88776","1.11155","79.235","86.440"
"Batch 1","Male","B1_M_3 Week 1.txt","31.629","34.816","9.383","11.006","31.5956","35.5262","30.9356","34.6177","24.3885","25.6399","6.5471","8.9778","21.164","25.934","0.66001","0.90852","70.341","82.547"
"Batch 1","Male","B1_M_4 Week 1.txt","32.356","36.276","9.369","11.629","33.0061","37.3407","32.3204","36.3216","24.8398","26.6340","7.4806","9.6877","23.145","26.672","0.68569","1.01912","73.187","87.633"
"Batch 1","Female","B1_F_0 Week -1.txt","30.115","33.166","9.026","10.406","24.8676","28.0720","24.2667","27.2912","17.2424","19.0605","7.0243","8.2307","28.946","30.159","0.60093","0.78078","66.580","75.030"
"Batch 1","Female","B1_F_1 Week -1.txt","30.008","33.065","8.968","10.274","25.7009","28.9082","25.1057","28.1397","18.7382","20.6865","6.3675","7.4532","25.363","26.487","0.59527","0.76849","66.380","74.802"
"Batch 1","Female","B1_F_2 Week -1.txt","32.112","35.628","9.656","11.725","28.3233","32.2745","27.6788","31.3426","17.0049","18.9033","10.6740","12.4392","38.564","39.688","0.64444","0.93193","66.738","79.482"
"Batch 1","Female","B1_F_3 Week -1.txt","31.305","34.684","8.224","9.878","28.6064","32.2161","28.0405","31.4347","19.1232","21.2246","8.9173","10.2101","31.802","32.480","0.56592","0.78141","68.815","79.108"
"Batch 1","Female","B1_F_4 Week -1.txt","31.364","34.567","8.463","9.723","26.3488","29.7792","25.7925","29.0502","17.9920","19.9609","7.8005","9.0893","30.243","31.288","0.55634","0.72904","65.735","74.984"
"Batch 1","Male","B1_M_0 Week -1.txt","30.847","34.561","9.178","10.895","30.3093","34.4279","29.6696","33.5655","23.0689","25.2839","6.6008","8.2817","22.248","24.673","0.63962","0.86234","69.690","79.147"
"Batch 1","Male","B1_M_1 Week -1.txt","30.659","34.235","8.044","9.621","29.5825","33.6111","29.0211","32.8408","21.7674","24.3109","7.2537","8.5299","24.995","25.974","0.56139","0.77028","69.789","80.063"
"Batch 1","Male","B1_M_2 Week -1.txt","30.286","33.848","8.886","10.450","30.6438","34.6375","30.0205","33.8267","23.5557","25.9896","6.4648","7.8371","21.535","23.168","0.62326","0.81076","70.141","77.582"
"Batch 1","Male","B1_M_3 Week -1.txt","31.390","34.703","8.697","10.176","32.3030","36.2557","31.7106","35.4778","25.9527","28.3093","5.7579","7.1685","18.158","20.205","0.59243","0.77788","68.119","76.444"
"Batch 1","Male","B1_M_4 Week -1.txt","32.655","35.829","8.812","10.153","33.0722","36.7926","32.4501","36.0004","25.1816","27.3090","7.2685","8.6915","22.399","24.143","0.62210","0.79218","70.595","78.021"
