filename,sex,reference_image,sample_area_cm2,bone_area_cm2,total_weight_g,soft_weight_g,lean_weight_g,fat_weight_g,fat_percent,BMC_g,BMD_mg_per_cm2
B3_M_0.txt,Male,B3_M_0,32.210,8.954,32.2112,31.5982,21.8161,9.7821,30.958,0.61298,68.459
B3_M_1.txt,Male,B3_M_1,33.431,9.247,33.0832,32.4282,22.4496,9.9786,30.771,0.65492,70.823
B3_M_2.txt,Male,B3_M_2,31.485,8.976,33.0242,32.4088,20.8957,11.5131,35.525,0.61539,68.562
B3_M_3.txt,Male,B3_M_3,30.260,8.223,31.0678,30.4770,20.2096,10.2674,33.689,0.59078,71.843
B3_M_4.txt,Male,B3_M_4,30.971,9.347,31.5254,30.8584,21.4933,9.3651,30.349,0.66701,71.363
B3_F_0.txt,Female,B3_F_0,27.859,8.473,24.2944,23.7460,16.6934,7.0527,29.700,0.54836,64.722
B3_F_1.txt,Female,B3_F_1,26.611,8.412,23.5375,22.9747,16.6927,6.2820,27.343,0.56277,66.899
B3_F_2.txt,Female,B3_F_2,28.908,8.786,25.2955,24.7015,17.2232,7.4784,30.275,0.59394,67.604
B3_F_3.txt,Female,B3_F_3,27.000,8.361,23.6029,23.0464,16.8017,6.2447,27.096,0.55647,66.557
B3_F_4.txt,Female,B3_F_4,27.919,8.274,24.6455,24.0841,18.9075,5.1766,21.494,0.56147,67.859
