filename,sex,reference_image,sample_area_cm2,bone_area_cm2,total_weight_g,soft_weight_g,lean_weight_g,fat_weight_g,fat_percent,BMC_g,BMD_mg_per_cm2
B4_M_0.txt,Male,B4_M_0,28.294,8.537,30.9198,30.2638,22.4686,7.7952,25.757,0.65603,76.848
B4_M_1.txt,Male,B4_M_1,29.147,8.066,28.8613,28.2915,21.9804,6.3111,22.308,0.56982,70.64
B4_M_2.txt,Male,B4_M_2,28.783,7.878,29.0044,28.4931,21.6176,6.8755,24.13,0.51129,64.897
B4_M_3.txt,Male,B4_M_3,30.433,8.195,31.78,31.1786,23.2844,7.8942,25.319,0.60142,73.387
B4_M_4.txt,Male,B4_M_4,27.666,8.171,28.5871,27.9929,20.6969,7.2960,26.064,0.59423,72.722
B4_F_0.txt,Female,B4_F_0,27.806,8.235,26.7628,26.2274,16.8711,9.3563,35.674,0.53533,65.009
B4_F_1.txt,Female,B4_F_1,32.264,9.396,32.2373,31.5965,18.0281,13.5684,42.943,0.64086,68.209
B4_F_2.txt,Female,B4_F_2,24.749,7.734,21.0691,20.5939,14.7968,5.7971,28.15,0.47524,61.45
B4_F_3.txt,Female,B4_F_3,26.925,8.201,23.2227,22.6667,14.8896,7.7771,34.311,0.55602,67.802
B4_F_4.txt,Female,B4_F_4,27.246,8.737,24.5133,23.9371,15.9627,7.9744,33.314,0.57623,65.953
